date,y_true,y_pred
2019-01-09,50.21999994913737,50.008849330349946
2019-01-10,51.576666514078774,51.38858419568978
2019-01-11,52.18000030517578,51.62587612404714
2019-01-14,51.563332875569664,51.39042772289133
2019-01-15,51.403333028157554,51.38948242328089
2019-01-16,51.643333435058594,51.54054844129689
2019-01-17,52.163333892822266,51.49612572386887
2019-01-18,52.72666676839193,52.28885835622045
2019-01-22,52.813332875569664,52.94476764453146
2019-01-23,52.996665954589844,52.600037226221744
2019-01-24,52.77333323160807,52.646533339479596
2019-01-25,53.14666620890299,53.11611953851827
2019-01-28,52.936667124430336,52.80460970248475
2019-01-29,52.9966672261556,52.541128003011366
2019-01-30,53.17666753133138,53.12004062085919
2019-01-31,53.77666727701823,53.667435143839285
2019-02-01,54.426666259765625,54.249522891289885
